ISIN;DATE;OUVERTURE;PLUSHAUT;PLUSBAS;CLOTURE;VOLUME
FR0000130809;02/05/16;34.355;34.50;33.615;34.12;2435247
FR0000130809;03/05/16;34.215;34.36;32.705;32.83;4905088
FR0000130809;04/05/16;33.65;34.315;33.34;33.38;5837989
FR0000130809;05/05/16;33.65;33.70;32.455;32.60;4116876
FR0000130809;06/05/16;32.40;32.99;31.715;32.86;4382875
FR0000130809;09/05/16;33.135;33.575;32.52;32.93;3544681
FR0000130809;10/05/16;33.22;34.01;33.06;33.47;3190411
FR0000130809;11/05/16;33.50;33.64;32.70;33.00;3545706
FR0000130809;12/05/16;32.80;33.495;32.405;32.695;3315804
FR0000130809;13/05/16;32.585;33.67;32.26;33.395;3940404
FR0000130809;16/05/16;33.11;33.425;32.86;33.28;1703068
FR0000130809;17/05/16;33.50;34.48;33.265;33.55;4478359
FR0000130809;18/05/16;33.41;34.11;33.095;34.02;3271619
FR0000130809;19/05/16;34.20;35.055;33.885;34.465;4820636
FR0000130809;20/05/16;34.985;35.14;34.47;34.675;4225016
FR0000130809;23/05/16;34.625;35.175;34.13;34.785;2958004
FR0000130809;24/05/16;34.65;36.80;34.505;36.665;6497384
FR0000130809;25/05/16;35.27;36.71;34.86;36.71;7921026
FR0000130809;26/05/16;36.50;37.145;36.115;36.985;5400007
FR0000130809;27/05/16;36.845;37.28;36.525;36.95;3428714
FR0000130809;30/05/16;36.965;37.365;36.84;37.31;1524601
FR0000130809;31/05/16;37.46;37.60;36.75;36.99;5924188
FR0000130809;01/06/16;36.80;37.065;35.93;36.16;4510352
FR0000130809;02/06/16;36.19;37.045;35.885;36.225;3752635
FR0000130809;03/06/16;36.07;36.66;35.21;35.61;4700347
FR0000130809;06/06/16;35.45;36.125;35.14;35.365;2581913
FR0000130809;07/06/16;35.725;36.315;35.525;35.72;3625964
FR0000130809;08/06/16;35.575;35.65;34.755;34.94;4018631
FR0000130809;09/06/16;34.805;34.84;34.175;34.205;3179573
FR0000130809;10/06/16;34.00;34.045;32.615;32.675;4834515
FR0000130809;13/06/16;32.21;32.49;31.495;31.59;4492412
FR0000130809;14/06/16;31.20;31.60;30.675;30.75;4812273
FR0000130809;15/06/16;31.26;31.97;31.00;31.33;5847573
FR0000130809;16/06/16;30.785;31.065;30.305;30.845;4779100
FR0000130809;17/06/16;31.385;33.025;31.31;32.87;10798563
FR0000130809;20/06/16;33.97;34.365;33.61;33.80;5615713
FR0000130809;21/06/16;33.87;34.39;33.70;34.165;3433230
